chunk_id,max_alignment_size
10518_sent_133_135,37
11826_sent_148,43
11689_sent_16,61
11593_sent_312_314,71
6187_sent_153_155,39
10041_sent_357_359,7
11976_sent_33_35,79
11755_sent_64_66,55
9183_sent_8_10,35
2435_sent_160_162,33
11148_sent_486_488,56
11689_sent_31,10
11826_sent_113_115,43
11326_sent_5,52
11593_sent_313_315,43
11820_sent_370_372,61
10067_sent_162_164,35
11689_sent_213_215,60
13088_sent_203_205,31
6187_sent_0_2,28
6187_sent_228_230,57
10067_sent_47_49,42
11591_sent_151_153,106
10518_sent_135_137,38
11148_sent_153,27
12080_sent_439_441,72
10067_sent_62,58
11593_sent_343_345,62
10518_sent_117_119,40
10454_sent_79,17
11593_sent_406_408,53
11689_sent_36,21
11591_sent_97_99,63
11148_sent_138_140,59
10454_sent_64_66,48
11148_sent_485_487,27
11150_sent_49_51,26
11689_sent_221_223,50
2435_sent_162,33
12080_sent_506_508,52
11689_sent_77_79,124
10053_sent_204,44
10454_sent_14_16,32
12080_sent_505_507,71
11820_sent_773_775,55
9183_sent_15_17,50
11820_sent_103_105,27
12080_sent_438_440,72
11150_sent_33_35,96
12408_sent_66_68,10
10067_sent_143,41
11689_sent_21,10
2801_sent_137_139,96
6187_sent_311,35
11593_sent_302,34
10041_sent_350_352,34
12408_sent_2_4,11
11826_sent_148_150,43
11820_sent_587_589,16
6187_sent_95_97,93
11820_sent_13_15,11
11148_sent_376,31
11820_sent_648_650,28
12265_sent_47,19
11689_sent_201_203,36
11148_sent_139_141,59
11150_sent_74,17
11755_sent_77_79,47
12080_sent_247_249,46
11593_sent_446_448,55
11818_sent_45_47,25
11150_sent_29_31,50
11337_sent_10,53
11820_sent_2_4,48
12080_sent_367_369,107
11826_sent_147_149,43
12080_sent_87_89,13
11148_sent_151_153,27
2435_sent_139,21
11689_sent_30_32,10
10067_sent_161_163,35
10065_sent_2_4,7
11820_sent_352_354,86
10065_sent_0_2,7
12408_sent_64_66,38
11820_sent_132_134,30
11593_sent_544,36
11820_sent_799_801,150
10454_sent_78_80,17
10518_sent_54_56,19
12080_sent_436,39
11337_sent_10_12,53
12080_sent_201,88
11820_sent_663_665,15
11689_sent_212_214,60
11820_sent_413_415,66
11990_sent_9_11,26
10454_sent_77_79,17
6187_sent_207,61
10015_sent_82_84,17
11976_sent_35,53
12080_sent_246_248,46
11820_sent_233,13
10053_sent_42_44,30
11820_sent_567_569,53
2435_sent_327_329,103
11689_sent_199_201,36
13088_sent_201_203,31
2435_sent_328_330,57
2435_sent_138_140,42
11148_sent_479,47
3405_sent_29,42
11820_sent_133_135,30
11820_sent_319_321,58
11148_sent_405_407,91
6187_sent_165_167,80
3405_sent_59_61,37
11326_sent_1_3,50
12408_sent_3_5,38
10053_sent_204_206,44
11820_sent_347_349,34
11820_sent_646_648,54
12080_sent_328_330,14
6187_sent_229,41
11820_sent_556_558,74
11968_sent_12_14,45
12080_sent_226_228,64
11591_sent_63_65,51
11820_sent_337,29
11820_sent_633,26
11820_sent_1_3,48
11591_sent_98,34
12080_sent_317_319,71
10067_sent_23,54
12448_sent_46_48,20
10454_sent_15,32
10065_sent_2,7
11820_sent_318_320,58
