chunk_id,max_alignment_size
11593_sent_165_167,96
11689_sent_30_32,138
11689_sent_148_150,137
10065_sent_17_19,25
3405_sent_93,73
11689_sent_214_216,43
11820_sent_352_354,96
6187_sent_236,65
10518_sent_79,59
11820_sent_694_696,76
11591_sent_195_197,36
11593_sent_79_81,105
2435_sent_326_328,128
11820_sent_799_801,160
11820_sent_432_434,108
12080_sent_311_313,44
12080_sent_436,54
11820_sent_774,53
11689_sent_212_214,43
12080_sent_201,70
10015_sent_252_254,74
5473_sent_12,63
11820_sent_413_415,74
10518_sent_22_24,48
11820_sent_779_781,103
11591_sent_145_147,93
6187_sent_217_219,75
10015_sent_82_84,87
11507_sent_17_19,13
13088_sent_225_227,83
11820_sent_503,136
11593_sent_142_144,67
12080_sent_30_32,85
12080_sent_496,83
6187_sent_294_296,29
2435_sent_327_329,112
11591_sent_153,69
10454_sent_40_42,67
11593_sent_354_356,93
2435_sent_328_330,112
10041_sent_81_83,65
11820_sent_707,64
11820_sent_319_321,70
11150_sent_48_50,76
11326_sent_1_3,65
12080_sent_357_359,71
12080_sent_358_360,156
6187_sent_229,49
10067_sent_91,47
10067_sent_103_105,52
11820_sent_556_558,105
12080_sent_328_330,82
11820_sent_542_544,64
10015_sent_161,101
10015_sent_258_260,111
10015_sent_253_255,74
11593_sent_80_82,105
13088_sent_219_221,38
11591_sent_63_65,56
12080_sent_317_319,125
11820_sent_318_320,70
13088_sent_212_214,60
10041_sent_119_121,84
11820_sent_529,73
